Content,Score
Sangat berguna sekali aplikasi ini saya beri rating 5/100 deh,5
Lumayan cuma kurang lengkap fiturnya,4
Aplikasi kenapa ga bisa di unduh ya theards,1
Kok tulisan nya goyang goyang gakebaca .puyeng,1
Mau upload foto keluar sndiri.parah.kedpan diperbaiki lgi,2
mantep aplikasi pesaing Twitter,5
Beranda Ig saya jadi error,1
Overall bagus cuma perlu ditambahin fitur biar bisa liat post dari orang yang kita follow aja sama sih tampilin jumlah orang yang kita ikuti.,4
Abis login ig langsung ga bisa di buka sama sekali,1
Hal baru selalu menarik,5
finally twitter is dead yeahhhh ligma ball ying lun musk,5
Keren banget apanya \U0001f64f\U0001f64f,5
"Gak jelas banget anjg, masa threads gw glitchh gitu kalo di scroll suka kek ngulang2 atas bawah glitchh",1
Sayangnya mau postingan gambar jadi keluar,4
"Maaf, ini kenapa ya di HP saya kok suka keluar sendiri tapii jarang siii tapi mengganggu banget buat saya.",4
Kalo mode gelap aktif tampilan patah\xb2/glitch.... Yang patah\xb2 saran saya offin mode gelap atau mode malamnya,5
Bagus dan menarik cuma kenapa bug nya parahh,3
Bagus cuma banyak kekurangan,3
Kok instagramku jadi lag gabisa dibuka ya \U0001f62b\U0001f62b\U0001f62b semenjak download dan pakai ini aplikasi,1
"Tiap mau up foto keluar terus, why???",1
gbisa di hpus dri bio,1
Cakep banget uy,5
Kurangi standar komunitas di fb bang,5
Nice work Zuck,5
"fakkkkkk,erorrrr apk bugh",1
Sempak lah,1
"Sering force close padahal saya ga ngapain ngapain cuma scroll doang, dan juga tolong tambah fitur dark modenya karna light mode ga cocok sama saya",1
Best!!!,5
Threads yg sekarang ga seasik dulu,3
Bugnya masih banyak,5
Thanks you mark zuckerberg,5
Bug mulu njir,1
Ngebug amat woy apk nya. malah ga enak jd nya.,1
Bagus,5
"App masih sering terhenti, tolong diperbaiki. Threads harusnya ada fitur trending topik juga dong.",1
Mantap bosku,5
Ra paham,5
"grgr apk ini, ig gua jd error bgst",1
gw ulasan kedua,5
Nice curhatan sya semua di sini,5
"Keluar""sendiri, padahal wifi lancar, memori gw juga masii penuh bgttt, nangiss",1
"min jangan di tambahin fitur ""pesan"" ya nanti ada yang mau selingkuh lewat apk ini, eh upss\U0001f92d\U0001f92d\U0001f601\u261d",5
Aplikasi hanya buat para selebgram Gilak nyari followers Ama like nya susah banget di branda full selebgram berasa pindah fitur doang,1
"Limit terus, liat following gak bisa, refresh timeline juga kena limit, tampilan jumlah followers hilang. Trus kalau disini kena limit di ig juga kena",1
"Pas mau buka tulisannya msh pembruan, jd tnggu smpai bs d gunain bru d gnti ratingnya",1
Aplikasi banyak bug mau scrol malah bug gak jelas,1
Bolehkah meminta permohonan? Kalau boleh tolong kasih fitur baru yang bisa tahu siapa yang sudah follow dan yang tidak follow back ! Seperti aplikasi sebelah!!,5
"Mantul, mantap betul.",5
Still have bug on my device,1
"mohon bantuannya developer threads aku kok nge bug ya? si tulisan nya klo di geser atau di sentuh langsung kayak pada nyatu gitu, eror lah pokonya, wajar sih sebenernya masih baru juga, tapi punya temen2 gada yg gitu \U0001f62d",1
Nembe blajar bro,1
sometimes this app goes force close on my device,3
"I wanna threads have multiple account login, because I have multiple account in Instagram",4
Login ny tambahin dari FB kek apa gitu dari Ig doang gw kagak main,1
Mencoba dulu dengan bintang 2,2
Buriq kek epep,3
"Dear Mark Zuckerberg, if you want to make an application to compete with Twitter, first fix the bugs in the treads application, then try the application once on the first page with an error'\U0001f5ff Mark Zuckerbe",1
"Baguss, Tambahin fitur untuk translate",5
Very bad,1
Gak ada bedanya sama instagram. Cuman ketambahan bisa bikin puisi sama ngarang cerita aja.,1
Ada bug saat scroll keluar sendiri,3
Error,1
"Actually I love this app but u must repair the privacy policy. It's to dangerous for users. Can you remove the financial, health and web search permission? it was too scary for us. I'm afraid the Facebook incident will happen again. please pay attention to my complaint, so this app will be better in the future \U0001f64f\U0001f3fb",2
Udh w hapus nnti klw udh bagus dn baik bru di download lagi\U0001f92d,1
Sering keluar\xb2 sendiri dari apk\U0001f64f\U0001f62d\U0001f62d,2
"aku kasih bintang 4 karena masih instal,moga aja bagus app nya \U0001f60b",4
Eror parah nyesel,1
Often force close when scrolling comments on certain posts,3
bug mlu anjr,1
Bagus,5
Sangat aggressive mengambil data pengguna ya Bund \U0001f605,1
"Bintang 1 dulu, soalnya kalau login pakai Instagram, malah Instagramnya yg logout pas login ke Instagram malah threads nya yg logout begitu aja terus. Semoga kejadian ini langsung ditindaklanjuti",1
Masih banyak bug nya tolong segera diperbaiki,1
Nice,5
"Kemarin masih bagus, sekarang aplikasinya sering force closed sendiri. Masih banyak fitur-fitur yang harus ditambahkan seperti tagar, trending, bookmark, simpan foto, dan direct message. Serta yang paling utama filter agar algoritma bisa mempersonalisasi apa yang menjadi interest kita. Semoga makin berkembang.",4
Forced close mulu anj,1
Perbaiki lg,3
"gabisa post foto eh, pasti nge bug trus balik ke home",1
Suka keluar sendiri padahal blom di kocok,3
Perbaiki bug night mode tolong,2
Keren lanjay banget di hp saya ga ada masalah dan kendala. Terus tingkatkan lagi biar aplikasi sebelah tersaingi hahaha,5
Tolong kasih terjemahan dan trending,2
"Fix the bugs first, add new features then",1
game yang sangat bagus\U0001f4a6,5
Terimakasih sudah membuat member jkt48 ada di kehidupan threads saya\u2764\ufe0f,5
Bagus mantap klo kata gue sih ini mirip Twitter deh,5
bug parah ga bisa di gunain,1
Mungkin untuk kedepannya tambahkan fitur simpan foto/video agar orang orang mudah untuk menyimpat postingan orang lain,3
Mntap,5
"Tampilan interface berantakan banget, banyak mayor bug sampe males bukanya, ujung2nya apa? Balik lagi ke Twitter, tolong perbaiki dulu aplikasinya sebaik mungkin, baru gua stop main Twitter.",1
Masih nyoba,3
Magnificent,5
Mantap bangat tiruannya,5
Saat mau melihat balasan threads orang lain kadang force close kadang tidak. Tolong segera diperbaiki ya \U0001f64f,3
Masih lebih bagus twitter,1
Menjanjikan,5
Menuh-menuhin memory,1
Mau menyaingi Twitter aplikasi ini,1
Aplikasi nya eror,1
Wah keren banget \U0001f601\U0001f601kayak twit,4
Agak eror.,3
"Oke aja karna baru lahir,tpi masa nyimpen datanya banyakk bgt ada sensitif ya sih, agak bingung juga saya makenya kok mirip banget sama burung biru, ga bisa buat acc sec kah?",3
"I've downloaded it and I'll give it 5 stars sometime, Mark against Elon musk",5
Good,5
good,5
Kenapa punyaku ngebug\U0001f62d\U0001f62d\U0001f62d\U0001f62d,1
Setiap mau mention langsung force close aplikasinya.. pakai HP Huawei nova 5T,1
Alay Cok apk nya!!!!!!!!!!!!!,1
Lumayan asik \U0001f923 kalo digabung sama ig bisa enggak? Gue gatau dah konsepnya TAPI serius ini seru kek twi... Andai bisa edit tulisan cakep bisa save gambar \U0001f606 (adem untung masih kaga ada iklan),5
The best,5
"Apk sesat jangan instal apk ini karna informasi pribadi trcantum di akun dari lokasi, nomor hp, sandi akun, smua deh ada di situ,dan kalo mau hapus akun thread trsbut maka otomatis akun ig akan terhapus juga jadi hati\xb2 yh",1
"tambahkan fitur musik bah, kayak di instagram tuu",4
apk ini bikin AKUN INTAGRAM ILANG,1
males k skolaaaa\U0001f614\U0001f613,5
Mantap mas mark,5
Kok eror ya di HP ku? Apa ga suport Pa gimana ini?,1
Gak ada translate yah,2
Keren,5
Hadehhhhh,1
Udah bagus tinggal tambahin fitur translate,4
Masih aneh tiba tiba bio ilang tulisan follower tiba tiba gak ada kaya belum fix sistem nya berubah ubah,1
Baguslah bisa di gunakan dengan baik,5
Kenapa aplikasinya selalu mengalami bug saat ingin refresh? Gimana sih ini tolong diperbaiki secepatnya dong \U0001f605,1
Gatau kenapa Gak bisa di pakai apknya,1
kok ga bisa diinstal sih??,1
Mantap,4
UI eror,1
Masih eror tar kalau dah bagus saya tambahin,1
"Terlalu Random isi beranda, tolong dong yg dimunculkan hanya yg difollow saja. Ini semua genre masuk\U0001f974",3
Tanya bagaimana menampilkan akun ini kembali profil ig,4
"aplikasi suka tiba tiba berhenti, lagi scroll tiba-tiba keluar sendiri",2
Seandainya dm bisa lewat messeger,1
apk ny eror pas scroll kebawah malah gambar nya itu jdi luntur gitu tolong di perbaiki lagi\U0001f64f,1
"Ga ada fitur pekobnya, sama fitur simpan",1
"Mantap min\U0001f44d\U0001f44d cuma nda bisa pegang lebih dari 1 akun, ditunggu update terbarunya",4
Twitter rasa instagram,5
"Bagus banget.. cuma tolong tambahkan fitur ""sematkan"" "" tagar"" dan bisa untuk banyak akun :).. ga cuma satu akun utama saja gitu sih:).. Kalo sudah ada aku kasih bintang 5.. yah dan saya tahu ini masih awal.. tapi ini sedikit saran dari saya.. dan banyak dari teman saya yang mengajukan yang seperti saya sarankan",4
Cakep,5
Bug woyyyy di benerin,1
Bagus banget deh,5
Untuk sementara saya kasih binta segini dulu. Ada bug force close. Semoga segera diperbaiki dan bertambah fitur yang lain. Terimakasih,3
error,1
there is no send message feature,1
Error,1
Glicth pada tampilan saat mode gelap,1
Bagus aja,5
Aplikasi nya bagus gk kyk blue bird,5
"bug nya parah banget, layarnya jadi crash",1
Di S21 FE tampilan putih doang cuy aowkaowkaok.. temen gw bilang itu ngebug,4
Nggak bisa masuk ke aplikasinya,1
Butut,1
Aplikasi erro,1
"Error woyy sering keluar sendiri aplikasi,kalau ngga niat buat ngga usah buat lah njirr",1
ikut2an ahh b1 hhh,1
Tambahin fitur penerjemah dong,3
tegarajjy follow ya nanti follback,5
Baru download di follback mami lemontea\U0001f5ff,5
Ok,5
"Aplikasi ini masih banyak bug nya. Salah satunya sering force close sendiri ketika saya sedang menggunakannya. Tolong segera diperbiki, ini sangat menganggu!!",1
Habis main ini Instagram saya ngebug ga bisa dibuka hadeuh segera perbarui kembali apk ini seperti twet,1
Keren saya suka,5
\U0001f600,5
Kenapa GK bisa upload foto malah keluar sendiri,1
Error atau bug sih emang untuk apps ini butuh kapasitas ram brp supaya ga error krn hp gw sendiri ini Ram 6/32 Maaf untuk sementara bintang 1 dulu,1
mantep,5
Pecah layarnya lag smua,1
Mau nanya ini kenapa ya layar hp aku kalau login threads terus di geser getar getar,2
Mirip twitter \U0001f973,2
Baca2 komen malah force close sndri,1
"Ada bug, pas dibuka tiba tiba layar kek bergaris semua Tolong diperhatikan dan diperbaiki",1
Mirip Twitter,3
Ngebag,1
Kok eror yah mls bngd,1
"Masih ada bug wajar baru rilis, pas buka balasan komentar untuk komentar suatu postingan malah keluar apk sendiri",2
Yg ngasih bintang \U0001f31f buzzer nya si elon,5
Gak ada fitur hapus akun secara terpisah.,1
Aplikasinya cukup menarik dan kurangnya seperti path,5
"gaesss tau kok masih pada bermasalah sama aplikasinya, gua juga.. notif berantakan, gabisa liat siapa yang belom follow atau udah follow.. tapi aplikasi ini kan baru launching jadi pastinya banyak masalahnya.. jadi doain aja di next update nanti, lebih baik dari yang ini.. kita tungguin aja update selanjutnya",4
Buka threads orang sering force close,3
hari ini sering force close trus tiap mau posting,3
Punya gw ko ngebug ya,2
Bug dan error,1
Baru mau coba,5
BUG APP TERHENTI DI XOAOMI 11T PRO ( 12/256 ),1
Better than T,5
"Gak tau kenapa setiap buka beberapa threads tertentu selalu force close, di MIUI",3
"Masih banyak kurangnya \U0001f927 gk ada translate,, Terus yg lewat di beranda kebanyakan centang biru semua,, gk ada fitur light mode & dark mode, kirim pesan,, #trending,, mau komen plus pake foto malah error / gagal terkirim,, Minimal perbaiki bug juga & kurangnya fitur Threads",1
"Tambahin fitur hashtagnya, gabisa filter pemilihan fotod galeri, jadi kalo mau upload foto lama harus scroll dulu kebawah",4
"masih banyak bug, kalo udh di fix bakal update rating",1
Bagus sih ....,4
"Udahh bagus, cuma untuk konten yang disediakan untuk threads nya tolong disesuaikan dengan minat masing-masing akun, isinya jadi boring, juga beranda threads nya cuma diisi dengan pengguna centang biru, agak ribet kalau harus disembunyikan/diblokir dulu",3
\U0001f4af,5
the application has a bug when uploading photos,3
Good app\U0001f44d\U0001f3fb,5
Good,5
Ninggalin jejak dulu apk baru\U0001f602,3
"Yg bilang qplikasi nya gak berjalan dengan baik, hp lu nya aja yg kentang cees\U0001f601\U0001f601",5
Dtunggu,1
"Mantap gan. Jadi fomo semuanya, tapi asik",5
Simpel sekali aplikasinya dan sangat mirip dengan twitter hanya saja masih belum terdapat fitur direct message serta fitur trending.,5
Oh ini toh yg lagi rame,4
glitch/ bug tampilan home nya,1
menarik,5
Apk bug,1
gmn yh masih eror eror begitu. notifny jga rusak hue,1
Gx bisa upload foto su,1
Aplikasi yang bagus. Kompetitor aplikasi yg sangat kompetitif. Lebih mudah ketemu dengan teman2 karena ter integtitas langsung dengan medsos yang lainnya.,5
Saling support ya guys @blackdwayn,5
"Force close padahal baru aja install, app juga udah update ke versi terbaru masih aja force close.",3
Asu asu,1
"Gak bisa save image, gak ada who to follow, beranda gak mengikuti rekomendasi, gak boleh upload corn, tampilan plak-ketiplek Twitter. mabok janda keknya nih si mark kadal kocak",1
"Padahal fiturnya ok, tapi kenapa gabisa singkron antara Instagram dan Threads malah ada yang logout baru buka salah satunya",1
"Ada yang kurang dari apk yaitu translate nya gk ada, jadi saran saya tolong di tambahkan agar semua orang dapat memahami bahasa luar",4
Wah keren,5
Ok.,4
tulisannya bergetar getar kaya mau rusak mungkin bug jadi tolonglah diperbaiki saya juga pengin ngethreads gasieeh,1
Sering Force close saat menambahkan foto dikomentar dan melebihi dari 1 foto.,1
Bagus bgt berasa kek selebgram aja ni apk,5
"Profil gak ad dan gak bisa masang profil, sudah ganti tapi tetep gak muncul profilny Masih banyak bug",2
Best...,5
bug UI tampilan di beranda tertimpa,1
"Bikin thread, keluar sendiri maksud e apa?",1
"Ngebug, pas scroll balasannya langsung aplikasi terhenti",1
There's a glitch that I can't read anything,2
"Pengalaman saya selama ini di hp oppo realme c2 OS 9.0 pas mode gelap bawaan dari realme nyala, aplikasi Threads ngebug dengan tampilan menumpuk dan berulang terus. Namun setelah mode gelap bawaan realme saya matikan aplikasi Threads dapat berjalan dengan normal.",4
Gg,5
Buka komen sering force close,1
kaya tai anjr gajelas ngebug,1
Komen Duluan Ah Sebelum Jutaan \U0001f923,5
"sipp, aman, tambahin mode gelapp",4
"setelah mendowload ini tiba-tiba instagram saya bug,dan sampai sekarang tidak bisa dibuka instagram saya",1
"apk sangat jelek, gara-gara download ini jdi gbisa buka ig \U0001f595\U0001f3fb\U0001f595\U0001f3fb\U0001f595\U0001f3fb\U0001f595\U0001f3fb\U0001f595\U0001f3fb",1
Keren juga,5
Aplikasi rusak ini,1
good app but still lots of bugs,4
buruk banget ni aplikasi nyesel gwa downloadnya buat kalian gak usah download ni apk bahaya banget data data kalian,1
Tappman,5
Tampilan ngebug,1
Setiap login selalu terkeluar sendiri dari instagram! Mohon segera perbaiki \U0001f974,1
Udah bisa liat bok\U0001f601p ga mark soalnya twiter kan gratis vpn masa threads enggak nyuakkk,1
Okee,5
"tampilannya sangat simple, menarik dan karakter kalimatnya pun juga bisa 500-an per-kata. tapi masih ada 1 fitur yg belum diaktifkan yaitu setingan terjemahan bahasa dari berbagai negara di dunia.",5
Tolong di fix: tidak bisa memposting foto yang tersimpan dari Instagram dan mengalami force close.,3
"Baru download bbrapa jam yg lalu, udah mulai muncul bug nya aduug padahal seru dan udah mulai muncul APLIKASI TERHENTI, notifikasi gak muncul, masih bayi kali ya jadi harus ada penyesuaian. Tapi kalo bisa secepatnya di perbaiki sih kalo gak mau kalah saing sama aplikasi burung putih",1
Soalnya sering ada bug,4
"Banyak bug.. wajar sih aplikasi baru lahir, diperbaiki lagi min",4
Ga bisa di scroll,2
Kadang force close,3
Goodd,5
Ngak tau main nya yg penting pakai \U0001f62durusan bisa belakang yg penting update \U0001f62d,5
Mantap,5
Kalahkan pak elon,5
Lumayan,5
Aplikasi pemaksaan kalau kalian daftar aplikasi pakek Instagram kalian aplikasi itu kagak bisa di putus.,1
Masih sering Force Close,2
Dikembangkan lagi agar sempurna sepenuhnya.\u2764\ufe0f\u2728,4
"Aplikasi ini udah bisa di donwload tapi ko masih ada eror nya gimana sih threads, pas saya mau scroll ke bawah tampilan nya jadi eror, tolong di perbaiki",1
Aku download ini demi arhan \U0001f5ff,5
Bagus suka dan enak orangnya warganya nggak baperan orangnya santuy\xb2 ga kayak apk Laen deh,5
Keren,5
Tambahin dm,5
"plz ini gmn cr ngilangin akun threadsnya dari bioo woi, pas udh di hapus setiap direfresh muncul lagi, GIMANASIH AK RATING 1 BINTANG AH JELEK GK BS DIILANGIN, KAN AK GK SUKA MENDING DI TWITTER HUH",1
Suka forclose sendiri,1
Ini yg ktanya lawan Twitter,2
Glicth pak jukebek,1
"masih banyak bugs, tolong di perbaiki :)",3
"Aplikasi nya bagus dan fiturnya cukup memuaskan, untuk kedepannya bisa ditingkatkan lagi",5
I like this at application,5
Old,5
"Very good, this application can be an alternative, it's just that some features that I want for the future are: 1. Specific time not just using a time caption like ""5 hours ago"" but also with specific hours and minutes based on the user's region time. 2. Translate 3. Direct Message",5
Perijinannya serem,1
gatau lucu aja,5
"Cuman tinggal peningkatan lg, maklum masih baru",5
Bug banyak cuyy,5
Aplikasi sering keluar sendiri,1
Lebih seru daripada Twitter Lebih kece daripada Twitter Sangat semru daripada Twitter,5
"lebih seru , lebih gampang menemukan teman",5
"gabisa liat following, error terus",1
"Sangat bagus, semoga tambah baik lagi",5
Saat scrool komen jika pemilik akun membalas utasnya sendiri sering keluar sendiri,3
"Masih ada beberapa fitur yg belum ada seperti simpan gambar, translate,dll",3
"punyaku masih sangat error kyak ketimpa\xb2 gitu,jd belom bisa digunakan",1
"Hati hati !! mark bakalan jual data kaya facebook dulu, gila gua kaget data yang di minta banyak banget, ..",1
Terjadi bug saat memakai mode gelap mohon di perbaiki. Dan mohon di tambahkan mode gelap di aplikasi sendiri biar GK silau,3
kerenn bgt sukakkkkkkk,5
"Download ni apk cuma penasaran aja, palingan nanti balik lagi ke twitter Edit : Mataku silau melihat tampilan putihnya antarmuka alias gada mode gelap",1
Bagus cuman kadang rada ngelag tapi gpp sih wajar soal nya baru,5
"Apaan dah nih apk, zucc nya ga ngotak kayak standar komunitas facebook.",1
"Aplikasinya bagus. tapi harus ditambahkan fitur dark mode, kirim pesan secara pribadi dengan teman, dan satu lagi tolong di update agar support di browser atau desktop komputer. Kan ada beberapa orang yang belum punya handphone",5
gtw,1
Gokill mantap aplikasi nya \U0001f525,5
Mode gelap tong diadakan,3
\U0001f64c,5
Bagus,5
Bagus,5
gimana cara hapus akun tott,1
Untuk aplikasinya lumayan bagus,5
Gw kasi bintang 5 walaupun blm ngerti,5
Belum bisa di pakai di scroll msh banyak bugny dan tidak kelihatan - tolong diperbaiki lagi,1
Gak nyangka sebagus ini apk nya untuk developer mohon dikembangkan lagi ya supaya bisa lebih seru disini tuh ngobrol bisa mutualan juga bisa seru banget lagi,5
Ni apk buat apa sih sbnernya cok ? Apa keunggulanya,5
"Aplikasi bagus, sayang saya sedikit ada masalah ketika meng-upload foto, selalu crash. Mohon diperbaiki",2
Masih suka error,2
Ga ada sih bagus,5
"Diandro ngebug, tulisan ketimpah timpah gajelas wkwkw",1
Pas di scroll tampilan jadi tumpang tindih,1
Udah bagus.. Tapi update berikutnya di tambahin mode gelap lebih keren \U0001f44d,5
Kenapa ya tiap mau scroll kebawah pasti tulisan nya pada blur kaya gak jelas gitu,4
"Aplikasi yang sangat keren, fiturnya lebih lengkap dibandingkan aplikasi tetangga sebelah. Bismillah, iPhone dan MacBook Pro.",5
Bad app,1
Usernya pindahan twittard cuy pada sok elit,1
"Threads udh bagus, tapi masih ada bug seperti suka force close atau keluar sendiri dari Threads nya. Mungkin di update selanjutnya bisa di benahi.... semoga aja secepatnya dibenahi soalnya ini aplikasi keren bgt",4
"tolong perbanyak fitur baru, seperti bisa login beberapa akun, terus fitur notifikasi nya jga di bedain biar ga campur mana yang sudah di follow atau belum\U0001f64f\U0001f3fb",3
apa pecah klo dibuka gambarnya,1
\U0001f60d,5
suka ngebug anjay,3
Keren,5
bau kaki,1
Ditingkatin lagi,5
Pengganti apk sebelah,5
"Bintang 3 dulu, kalau bagus keknya ntar update. Kalau ndak lupa...",3
Saya suka saya suka \U0001f605,5
"Di hp gw aman-aman aja tuh ga ada bug, mode gelap juga, aman~",5
End game,5
Gg,5
Kasian twitter,5
Tambahin fitur terjemahan otomatis dong biar makin manteppp,3
"Saat ini masih berfungsi dengan baik bintang 4 dulu jika aplikasi nya ditambah beberapa fitur seperti edit komentar, dan menambahkan lokasi baru saya tambahkan bintang 5",4
It's good but if you can provide trending features,3
Good application. I hope the developer will give the best,4
kenapa gak bisa bikin akun? inimah harus pake akun ig apa apaan? klo orang mau jadi teroris gimana dong? skip\U0001f44e\U0001f44e\U0001f44e\U0001f44e tidak teroris friendly,1
Ngehasilin uang ga Ni? Mayan lah follow baru buat akun naik 125k padahal gua rakyat bisa,5
ini lag terus kenapa yaaa?,3
Burik,1
Keren,5
"Terlalu monoton dan kembali nostalgia ke jaman awal facebook terbentuk. Sudah gitu nagih hutang , akun langsung di banned , lebih baik twitter deh",1
Ga bisa pake hastag :v,5
cara balikin lencana yang disembunyikan gimana?,3
Bagus,5
Keren sih untuk menyanyingi Twitter sih,5
Tolong tambahin bisa save foto donkkk,5
aplikasinya suka ngebug gitu min tolong,1
Tolong tambahkan fitur edit ketika ingin mengupload media. Ketika saya ingin mengupload foto dan perlu ditambahakan kata-kata atau sticker maupun memotong ukuran foto itu belum tersedia. Jadi harus mengubahnya/menambahkan di luar aplikasi ini.,4
Suka aku karna hemat kuota,5
patah patah,1
Tambahkan Translate dong,4
"saat memosting foto banyak sekaligus, aplikasi tiba tiba keluar sendiri, dengan tulisan ""threads telah berhenti"". mohon untuk pihak aplikasi segera memperbaiki, terimakasih \U0001f64f",2
Kerang,1
"bagus sih, tapi masa udah eror",3
Tampilannya nge bug \U0001f62d,1
I was already download for this application yesterday so my opinion is running smoothly let's see on future this application is useful or insightful,5
Bagus,5
Muti,5
Dark mode benerin,3
Bagus ...,5
Nostalgia jaman awal Twitter,5
INSTAGRAM SAYA TIDAK BISA DIBUKA GARAGARA APK INI\U0001f44e,1
"aku sembunyiin lencana di bio IG, ehhh gak bisa kembalikan lg",4
Apk ini bagus,5
"I can't revert to out of sync. And cannot be edited after syncing, just only edit in Instagram",1
Thank you,5
Hp lu semua jelek yg ngasih bintang 1,5
"Tambahkan fitur voice group, hashtag, kirim gif, serta percantik User Interfacenya, dibuat warna, jangan hitam putih ah, gelep",5
"Tolong perbaiki bug helcurt, ultinya ngebug, thnk",3
"Appnya belom sempurna kali ya? Atau emg masa percobaan? Patah"" Masaaa",1
Mantap,5
"Saran bagus saya adalah bisa menambahkan beberapa akun untuk seharusnya bisa membawa jangkau banyak orang. Tapi sayangnya, tetap saya kasih bintang 2 dulu untuk sementara karena baru pertama kali saya pakai Threads ini dan akunnya juga tolong ditambahkan lagi sebagai multiply akun harus yang banyak yaaa.....Terima kasih untuk ulasan dari saya~",2
I think log in maked new akun don't use Instagram login.,1
Plisss gua gbsa login ig gua gimana sih huaaaaaaaa\U0001f62d,1
tolong tambahkan fitur simpan gambar dan translate,4
"Tulisannya bayang""",1
"Baru buka malah ngebug, teksnya jadi double",1
Kok nge bug apa berpengaruh sama hp kentang?,3
"Kaish fitur dm,edit,album foto dong",3
Ok,1
"Sejauh ini cukup bagus tapi saranku mungkin bisa di tambahkan juga di pusat akun meta jadi bisa auto posting di 3 aplikasi sekaligus IG, Facebook, Threads Dan aplikasi ini belum tersedia mode gelap, jadi mungkin bisa di tambahkan, dan juga foto belum bisa di simpan atau di download secara langsung, serta masih ada beberapa bug yang munkin harus di perbaiki, itu saran dari saya sebagai user",4
Tolong diperbaiki dong membatasi aktifitas tertentu kok ke gitu akun thread gue ga sebagus instagram sama tiktok,2
Very bad,1
Bug bgttt,1
Banyak bug,1
"Dark mode bug in android,please fix it",3
Enakan twt,1
APA SII NGIKUT2 TWITTER LU!,1
G bisa di scroll..,1
Sejak trending langsung download Semoga lancar,4
privacy tidak terjaga dengan baik,1
Foto nya blm bisa diperbesar,4
Seruuu woe whahaha,5
Easy to use this apps don't need registered cuz linked with Instagram account. So far good. Thanks to the creator and team. Congratulations,5
Hehe nice om zuck,5
"buat yang ngebug,jgn pake mode gelap yaa",4
Testing dlu,4
Layar nya bug dan ngelag banget,1
"please fix bugs that are a lot and quite annoying, and update them so there are features dark mode.",1
"msh ada bug jadi bikin patah"", teks saling tumpuk",1
Ok,5
"Tolong jangan di jadikan satu notifnya, jadi susah lihat siapa yang belum ke follback",1
"Bagus sih , lebih simple dan mudah digunakan",5
"First impression enak sih nyaman, ditunggu update selanjutnya",5
Mantap,5
Keren,5
Ok,4
Bug,1
Apk gajelas,1
"bagus, bakal ada au di threads ga ya WKWK",5
"Lumayan, hanya saja. Banyak perizinan yang diminta",3
Kenapa ketika saya membuka aplikasi Threads tulisan yang ada didalamnya itu crash semua?,4
apk tolol,1
\u2764\ufe0f,5
\u2764\ufe0f,4
Kalian napa sih pakek kasih bintang 1 wajarlah banyak bug namanya jga awal liris yakali langsung sempurna kaya kamu hehe,5
Login gmna,1
"Masih Nge bug , tolong segera di perbaiki",1
Biasanya kalo di kasih bintang 1,1
"bug parah, masa baru login layar tampilannya di scroll jadi ancur gitu",1
Mantap,5
"Menurutku itungannya udah bagusss,,",5
Good,5
"Ini gimana ya, ko akun Instagram nya jadi gabisa di buka \U0001f62d",3
ga bisa create akun harus pake akun ig,1
Lumayan daripada lumanyun,5
"Aplikasi baguss,",5
Ya bole la,4
Twitter Jaman Now!,5
"bagus nihh, kurang fitur DM aja\U0001f601",5
nice,5
Sangat ramah bintang 5 \U0001f44d\U0001f3fe,5
Bukan yg ini,1
Yg ngebug hp nya upgrade wkwk,5
best I am very satisfied,5
"Seru juga sih, kek another version of Twt \U0001f60d",5
"Kanal yang mirip Twiter ini , sich",5
"Kok Info Nya Lengkap.... Kaya Alamat Lengkap,apa Yang Personal.... Jadi Curiga Bakalan Jualan Info Pribadi Kaya Facebook kemaren\xb2\U0001f5ff",1
Ngelag,1
baru install layar nge bug ...,1
pp,5
Masih agak lag tapi baguslah okeeee,5
Bug,1
Bug UI TEXT TIMPA Di HP REDMI 6A,1
"Yang pada komen negatif sabar, mungkin app ini masih dlm proses pengembangan",4
good,5
Bintang 5 soanya akun aku followers nya dikit @Zyaaaaa_33 bantu follow nanti aku follback\U0001f601btw apk nya bagus ga eror kok,5
Temne gw beluk makek muwehehehe,5
gw ke brp nih,5
Ga jelas masi bug layar patah patah,1
"Widih baru muncul dah rame aja, tapi masih kurang si, fitur translate belum ada",5
Sangat baik \U0001f44d\U0001f3fb,5
Bagus ajasih. Mirip twtr pas baru2 launching. Tp blm bikin nyaman krn timeline nya kek tempat sampah. Gak bisa di filter.,2
"ayo dongggg bisa beberapa akun dalam satu threads, buat saya yang kaum megang akun perusahaan, kan ige saya belum make threads jadinya:))",4
Nyoba wkwk,5
lucuu sii bagus jg,5
"Good app , but i don't know what next happen.",5
"Keren ,semoga mereka adu mekanik Twitter dan apk ini ,Rusia SMA OPM sma2 kuat sulit di musnah kan uraaa",1
I love it,5
"Bintang 2 dlu soalnya ga bisa nyimpan foto, tolong dong kasih vitur buat bisa nyimpan foto biar ga ribet nyalin linktrus download di google.",2
bagus,5
"Boleh gak sih, home di thread bener bener akun yang emang kita follow?? Bukan random akun yg boro boro difollow di IG??",3
